unitid,year,fips,race,sex,completers
109721,2015,6,7,99,7
109721,2015,6,7,2,4
109721,2015,6,5,1,0
109721,2015,6,5,99,1
109721,2015,6,5,2,1
109721,2015,6,4,1,3
109721,2015,6,4,99,3
109721,2015,6,4,2,0
109721,2015,6,2,1,35
109721,2015,6,2,99,89
109721,2015,6,2,2,54
109721,2015,6,3,1,38
109721,2015,6,3,99,110
109721,2015,6,3,2,72
109721,2015,6,6,1,0
109721,2015,6,6,99,0
109721,2015,6,6,2,0
109721,2015,6,8,1,0
109721,2015,6,8,99,0
109721,2015,6,8,2,0
109721,2015,6,99,1,87
109721,2015,6,99,99,228
109721,2015,6,99,2,141
109721,2015,6,9,1,0
109721,2015,6,9,99,0
109721,2015,6,9,2,0
109721,2015,6,1,1,8
109721,2015,6,1,99,18
109721,2015,6,1,2,10
109730,2014,6,7,1,0
109730,2014,6,7,99,0
109730,2014,6,7,2,0
