seq,time,lat,lng,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
67,2020-10-30T23:46:45.766Z,71.491,-3.33,10,5.3,mww,,23,8.403,0.77,us,us7000c8gc,2020-10-31T00:39:17.040Z,"203 km ENE of Olonkinbyen, Svalbard and Jan Mayen",earthquake,7.4,1.8,0.046,46,reviewed,us,us
68,2020-10-31T07:41:40.515Z,-62.3845,-58.3104,10,5,mww,,89,0.221,0.57,us,us7000c8kb,2020-11-01T03:55:54.040Z,South Shetland Islands,earthquake,6.2,1.9,0.093,11,reviewed,us,us
69,2020-10-31T10:15:25.850Z,-22.1561,-179.1085,549.18,5.1,mb,,100,5.136,0.83,us,us7000c8lj,2020-10-31T10:36:25.040Z,south of the Fiji Islands,earthquake,10.6,7.1,0.08,50,reviewed,us,us
70,2020-10-31T21:04:03.782Z,-55.734,-27.1091,19.69,5.1,mb,,46,5.589,0.67,us,us7000c8rj,2020-11-11T22:44:35.040Z,South Sandwich Islands region,earthquake,10.1,3.2,0.073,62,reviewed,us,us
71,2020-11-01T03:43:20.361Z,-7.061,129.2466,181.21,5.7,mww,,17,2.231,1.06,us,us7000c8va,2020-11-02T03:46:15.573Z,"295 km ENE of Lospalos, Timor Leste",earthquake,7.6,5.6,0.071,19,reviewed,us,us
72,2020-11-01T05:01:09.156Z,10.0045,-84.065,73.67,5.1,mww,,77,0.045,0.99,us,us7000c8w9,2020-11-04T04:02:43.176Z,"1 km WNW of Ángeles, Costa Rica",earthquake,7,3.7,0.051,37,reviewed,us,us
73,2020-11-02T09:04:50.847Z,-13.2948,167.1549,182.42,5,mb,,96,2.14,0.75,us,us7000c97j,2020-11-02T09:24:36.040Z,"77 km NNW of Sola, Vanuatu",earthquake,11.2,7.1,0.074,59,reviewed,us,us
74,2020-11-02T18:01:58.918Z,-3.4515,131.1099,12.43,5.3,mww,,28,1.254,0.61,us,us7000c9c6,2020-11-03T02:04:26.239Z,"243 km E of Amahai, Indonesia",earthquake,5.6,3.8,0.08,15,reviewed,us,us
75,2020-11-03T01:51:05.003Z,0.2132,97.8844,35,5,mww,,89,1.126,0.61,us,us7000c9jm,2020-11-04T00:04:34.040Z,"196 km SSW of Sibolga, Indonesia",earthquake,8.1,1.9,0.098,10,reviewed,us,us
76,2020-11-03T02:40:54.924Z,-44.3935,-79.3874,10,6,mww,,54,4.338,0.67,us,us7000c9jz,2020-11-04T02:43:48.029Z,"Off the coast of Aisen, Chile",earthquake,9,1.8,0.035,78,reviewed,us,us
77,2020-11-03T08:18:56.696Z,-20.0044,-177.4872,387.64,5.7,mww,,27,4.783,0.85,us,us7000c9mz,2020-11-04T08:21:51.935Z,"268 km WNW of Haveluloto, Tonga",earthquake,5.7,3.9,0.073,18,reviewed,us,us
78,2020-11-04T01:35:29.823Z,-55.7988,-26.9,17.06,5.1,mb,,46,5.718,0.58,us,us7000ca2t,2020-11-13T06:40:23.040Z,South Sandwich Islands region,earthquake,10.2,3.1,0.074,60,reviewed,us,us
79,2020-11-04T12:23:45.667Z,53.578,-164.8189,43.77,5,mb,,158,0.794,1.13,us,us7000caa9,2020-11-18T12:33:56.513Z,"88 km SE of Akutan, Alaska",earthquake,3,7.2,0.03,350,reviewed,us,us
80,2020-11-04T12:28:42.798Z,-35.5486,-103.9511,10,5.3,mww,,112,25.281,0.64,us,us7000caai,2020-11-05T12:31:33.094Z,southeast of Easter Island,earthquake,14.6,1.8,0.075,17,reviewed,us,us
81,2020-11-04T18:27:48.246Z,10.0625,126.0233,49.88,5,mww,,83,3.005,0.9,us,us7000caeb,2020-11-13T21:59:23.040Z,Philippine Islands region,earthquake,8.5,4.9,0.098,10,reviewed,us,us
82,2020-11-04T22:21:49.702Z,-7.3061,106.1567,39.99,5.2,mb,,26,1.489,0.8,us,us7000cajk,2020-11-14T03:53:47.625Z,"56 km SW of Pelabuhanratu, Indonesia",earthquake,2.2,4.9,0.054,114,reviewed,us,us
83,2020-11-05T12:56:32.633Z,54.1803,-159.8007,21.42,5.1,mww,,66,0.663,0.69,us,us7000cas0,2020-11-06T06:46:28.040Z,"136 km SSE of Sand Point, Alaska",earthquake,6.5,5,0.066,22,reviewed,us,us
84,2020-11-05T21:57:03.709Z,-6.5998,146.9654,24.71,5.2,mww,,35,2.793,1.11,us,us7000cb1w,2020-11-07T03:03:00.212Z,"14 km NNW of Lae, Papua New Guinea",earthquake,3.7,5.6,0.098,10,reviewed,us,us
85,2020-11-06T06:20:07.790Z,-7.4682,128.401,139.48,5.2,mb,,60,2.916,0.73,us,us7000cb7i,2020-11-06T06:36:56.040Z,"193 km NE of Lospalos, Timor Leste",earthquake,7.5,6.7,0.076,57,reviewed,us,us
86,2020-11-06T07:38:54.667Z,40.1506,71.6484,27.82,5.2,mb,,37,0.677,0.43,us,us7000cb81,2020-11-06T08:39:46.404Z,"22 km NW of Shohimardon, Uzbekistan",earthquake,5.7,4.1,0.057,102,reviewed,us,us
87,2020-11-06T08:56:38.855Z,40.9928,143.2504,16.47,5.5,mww,,71,1.023,0.94,us,us7000cb99,2020-11-07T09:03:49.741Z,"157 km ENE of Hachinohe, Japan",earthquake,5.5,3.5,0.059,28,reviewed,us,us
88,2020-11-06T17:16:54.031Z,40.9118,143.3526,16.83,5.2,mww,,60,1.112,0.96,us,us7000cbfp,2020-11-06T17:56:01.040Z,"163 km ENE of Hachinohe, Japan",earthquake,5.5,3.1,0.098,10,reviewed,us,us
89,2020-11-06T23:49:18.304Z,-62.2779,-58.0593,5.83,6,mww,,94,10.631,0.79,us,us7000cbmx,2020-11-09T17:33:57.562Z,South Shetland Islands,earthquake,9.5,2,0.054,33,reviewed,us,us
90,2020-11-07T01:10:32.164Z,25.6893,143.6273,17.76,5.8,mww,,46,8.112,0.97,us,us7000cbni,2020-11-08T01:15:42.626Z,"Volcano Islands, Japan region",earthquake,8.2,3.5,0.065,23,reviewed,us,us
91,2020-11-07T09:27:04.769Z,-15.2741,-173.5606,29.3,6.1,mww,,42,4.514,0.7,us,us7000cbr2,2020-11-09T09:30:52.298Z,"79 km NNE of Hihifo, Tonga",earthquake,8.7,3.4,0.098,10,reviewed,us,us
92,2020-11-07T12:23:11.989Z,61.5218,-149.9095,39,5,ml,,,,0.59,ak,ak020ec6yfo7,2020-11-18T12:33:24.968Z,"2 km E of Big Lake, Alaska",earthquake,,0.3,,,reviewed,ak,ak
93,2020-11-07T21:30:44.700Z,32.3486,141.6979,9.28,5.2,mww,,74,1.762,0.64,us,us7000cbxf,2020-11-14T06:43:50.040Z,"Izu Islands, Japan region",earthquake,7.3,3.5,0.069,20,reviewed,us,us
94,2020-11-08T00:39:03.272Z,-11.5972,165.0159,11.57,5.3,mww,,22,4.378,0.58,us,us7000cbyq,2020-11-15T05:47:13.040Z,"128 km SW of Lata, Solomon Islands",earthquake,8,2.8,0.086,13,reviewed,us,us
95,2020-11-08T06:31:14.877Z,0.9512,-28.2147,10,5.1,mb,,47,10.21,0.63,us,us7000cc12,2020-11-08T06:50:15.040Z,central Mid-Atlantic Ridge,earthquake,9.2,1.9,0.047,145,reviewed,us,us
96,2020-11-09T16:45:33.300Z,-3.7866,153.3454,217,5.4,mww,,15,1.245,0.78,us,us7000ccjd,2020-11-15T15:19:39.042Z,"134 km ENE of Kokopo, Papua New Guinea",earthquake,7.5,1.8,0.069,20,reviewed,us,us
97,2020-11-10T00:52:32.920Z,-6.3022,104.0658,36.42,5,mww,,94,2.223,1.44,us,us7000ccq1,2020-11-10T01:09:52.040Z,"163 km SW of Bandar Lampung, Indonesia",earthquake,5.7,6.8,0.098,10,reviewed,us,us
98,2020-11-10T14:40:37.440Z,38.9199,70.6156,35,5,mb,,75,1.082,0.57,us,us7000cei4,2020-11-15T17:08:42.040Z,"24 km ESE of Rasht, Tajikistan",earthquake,7.2,2,0.089,44,reviewed,us,us
99,2020-11-11T00:48:44.208Z,-19.6815,-177.5446,417,6,mww,,22,4.595,1.08,us,us7000cd6e,2020-11-18T04:16:20.279Z,"292 km NW of Haveluloto, Tonga",earthquake,9.5,1.9,0.063,24,reviewed,us,us
100,2020-11-11T03:54:15.499Z,41.6953,20.7954,8.49,5,mww,,21,1.358,0.85,us,us7000cd8k,2020-11-15T11:09:15.202Z,"8 km SSW of Vrutok, North Macedonia",earthquake,5,3.3,0.045,47,reviewed,us,us
101,2020-11-11T05:17:56.214Z,25.4623,142.7625,10,5.7,mww,,82,8.048,0.76,us,us7000cd9a,2020-11-12T05:23:13.328Z,"Volcano Islands, Japan region",earthquake,7.9,1.8,0.065,23,reviewed,us,us
